"Credit Serial Numbers","Date Issued (GMT)","Vintage","Vintage Assignment Period Start Date","Vintage Assignment Period End Date","Quantity of Credits","Account Holder","Status Effective (GMT)","Retired on Behalf of","Retirement Reason","Purpose of Retirement","Project ID","Project Name","Project Type","Project Methodology/Protocol","Methodology/Protocol Version","Project Site Location","Project Site State","Project Site Country","ARB Eligible","Ecology Eligible","CORSIA Eligible","Eligible for CORSIA 2021-2023 Compliance Period (Pilot Phase)","Eligible for CORSIA 2024-2026 Compliance Period (First Phase)","CCP Approved","Verified Removal","Sustainable Development Goal(s)","Project Website","Documents",
"ACR-CA-680-2021-2229-25781 to 33581","1/12/2024 9:05:58 PM","2021","1/1/2021","6/21/2021","7801","Grain St-Laurent Inc. (doing business as McGill St Laurent Climate Solutions)","9/27/2024 2:02:30 PM","Fédération des caisses Desjardins du Québec","On Behalf of Third Party","Carboneutralité 2023","ACR680","Anew - Quinte Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Canadian Forestlands","Version 1.0","Quinte region","ONTARIO","CA","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-114-2021-2238-4544 to 5693","1/26/2024 10:48:12 PM","2021","1/1/2021","12/31/2021","1150","Arbor Day Foundation","9/26/2024 6:25:39 PM","Power Corporation of Canada","On Behalf of Third Party","To offset a portion of Power Corporation of Canada’s 2023 scope 1 and 2 emissions","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-556-2019-1157-524165 to 524368","11/24/2020 5:40:58 PM","2019","1/1/2019","12/31/2019","204","Climate Impact Partners, LLC","9/25/2024 8:55:08 PM","Executive Jet Management and Executive Jet Management Owners","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Executive Jet Management and Executive Jet Management Owners for September 2022 emissions.","ACR556","Foam Blowing Agent Project 005","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 2.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-556-2019-1157-524131 to 524164","11/24/2020 5:40:58 PM","2019","1/1/2019","12/31/2019","34","Climate Impact Partners, LLC","9/25/2024 8:51:47 PM","Executive Jet Management and Executive Jet Management Owners","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Executive Jet Management and Executive Jet Management Owners for November 2021 emissions.","ACR556","Foam Blowing Agent Project 005","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 2.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-556-2019-1157-514825 to 514837","11/24/2020 5:40:58 PM","2019","1/1/2019","12/31/2019","13","Climate Impact Partners, LLC","9/25/2024 8:50:44 PM","Executive Jet Management and Executive Jet Management Owners","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Executive Jet Management and Executive Jet Management Owners for November 2021 emissions.","ACR556","Foam Blowing Agent Project 005","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 2.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-114-2017-735-227391 to 227393","6/22/2018 11:22:39 PM","2017","1/1/2017","12/31/2017","3","Climate Impact Partners, LLC","9/25/2024 8:30:08 PM","Executive Jet Management and Executive Jet Management Owners","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Executive Jet Management and Executive Jet Management Owners for November 2021 emissions.","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-114-2017-735-227389 to 227390","6/22/2018 11:22:39 PM","2017","1/1/2017","12/31/2017","2","Climate Impact Partners, LLC","9/25/2024 8:26:36 PM","Executive Jet Management and Executive Jet Management Owners","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Executive Jet Management and Executive Jet Management Owners for August 2022 emissions.","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-114-2017-735-236479 to 236484","6/22/2018 11:22:39 PM","2017","1/1/2017","12/31/2017","6","Climate Impact Partners, LLC","9/25/2024 8:25:59 PM","Executive Jet Management and Executive Jet Management Owners","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Executive Jet Management and Executive Jet Management Owners for August 2022 emissions.","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-114-2017-735-225834 to 225834","6/22/2018 11:22:39 PM","2017","1/1/2017","12/31/2017","1","Climate Impact Partners, LLC","9/25/2024 7:58:16 PM","NetJets Inc. and NetJets Inc. Owners","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of NetJets Inc. and NetJets Inc. Owners for September 2022 emissions.","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-556-2019-1157-514819 to 514824","11/24/2020 5:40:58 PM","2019","1/1/2019","12/31/2019","6","Climate Impact Partners, LLC","9/25/2024 7:48:05 PM","NetJets Inc. and NetJets Inc. Owners","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of NetJets Inc. and NetJets Inc. Owners for September 2022 emissions.","ACR556","Foam Blowing Agent Project 005","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 2.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-556-2019-1157-514618 to 514632","11/24/2020 5:40:58 PM","2019","1/1/2019","12/31/2019","15","Climate Impact Partners, LLC","9/25/2024 7:44:19 PM","Executive Jet Management and Executive Jet Management Owners","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Executive Jet Management and Executive Jet Management Owners for August 2022 emissions.","ACR556","Foam Blowing Agent Project 005","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 2.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-556-2019-1157-496665 to 496767","11/24/2020 5:40:58 PM","2019","1/1/2019","12/31/2019","103","Climate Impact Partners, LLC","9/25/2024 7:42:06 PM","Executive Jet Management and Executive Jet Management Owners","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Executive Jet Management and Executive Jet Management Owners for August 2022 emissions.","ACR556","Foam Blowing Agent Project 005","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 2.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-114-2017-734-471191 to 471205","6/22/2018 11:22:39 PM","2017","1/1/2017","12/31/2017","15","Climate Impact Partners, LLC","9/25/2024 7:37:23 PM","Executive Jet Management and Executive Jet Management Owners","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Executive Jet Management and Executive Jet Management Owners for September 2022 emissions.","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-556-2019-1157-514725 to 514818","11/24/2020 5:40:58 PM","2019","1/1/2019","12/31/2019","94","Climate Impact Partners, LLC","9/25/2024 7:32:53 PM","Executive Jet Management and Executive Jet Management Owners","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Executive Jet Management and Executive Jet Management Owners for July 2022 emissions.","ACR556","Foam Blowing Agent Project 005","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 2.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-114-2017-734-471185 to 471190","6/22/2018 11:22:39 PM","2017","1/1/2017","12/31/2017","6","Climate Impact Partners, LLC","9/25/2024 7:29:34 PM","Executive Jet Management and Executive Jet Management Owners","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Executive Jet Management and Executive Jet Management Owners for July 2022 emissions.","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-556-2019-1157-496462 to 496664","11/24/2020 5:40:58 PM","2019","1/1/2019","12/31/2019","203","Climate Impact Partners, LLC","9/25/2024 7:24:38 PM","Executive Jet Management and Executive Jet Management Owners","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Executive Jet Management and Executive Jet Management Owners for 2022 emissions.","ACR556","Foam Blowing Agent Project 005","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 2.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-114-2017-735-225820 to 225833","6/22/2018 11:22:39 PM","2017","1/1/2017","12/31/2017","14","Climate Impact Partners, LLC","9/25/2024 7:21:07 PM","Executive Jet Management and Executive Jet Management Owners","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Executive Jet Management and Executive Jet Management Owners for 2022 emissions.","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-556-2019-1157-496308 to 496461","11/24/2020 5:40:58 PM","2019","1/1/2019","12/31/2019","154","Climate Impact Partners, LLC","9/25/2024 7:16:29 PM","Executive Jet Management and Executive Jet Management Owners","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Executive Jet Management and Executive Jet Management Owners for March 2022 emissions.","ACR556","Foam Blowing Agent Project 005","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 2.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-114-2017-734-471175 to 471184","6/22/2018 11:22:39 PM","2017","1/1/2017","12/31/2017","10","Climate Impact Partners, LLC","9/25/2024 7:10:26 PM","Executive Jet Management and Executive Jet Management Owners","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Executive Jet Management and Executive Jet Management Owners for March 2022 emissions.","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-936-2023-2311-19662 to 19761","4/5/2024 10:51:59 PM","2023","12/4/2023","12/27/2023","100","Tradewater, LLC","9/25/2024 4:28:23 PM","Tradewater’s Individual Retail Customers","On Behalf of Third Party","Climate Heroes Program sales 24.09.23-24.09.24","ACR936","Tradewater US - ODS - #4","Ozone Depleting Substances","Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam","Version 2.0","Bowling Green","OHIO","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","","View",
"ACR-CA-680-2020-2231-18323 to 30141","1/12/2024 9:05:58 PM","2020","6/22/2020","12/31/2020","11819","Anew Carbon Development, LLC","9/24/2024 4:01:55 PM","Fédération des Caisses Desjardins du Québec","On Behalf of Third Party","Retirer au nom de la Fédération des Caisses Desjardins du Québec pour son empreinte carbone corporative 2023 / Retired in the name of the Fédération des Caisses Desjardins du Québec for its 2023 corporate carbon footprint","ACR680","Anew - Quinte Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Canadian Forestlands","Version 1.0","Quinte region","ONTARIO","CA","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
